ItemId,count_special_treatment,count_all
1,275,275
102600,2,2
103007,62,62
103012,62,62
157,1,1
2,126,126
3,30,30
4,29,29
5,117,117
6,29,29
7,2,2
8,40,40
AAR,31,31
ABA,25,25
ABCB1.1,2,2
ABO血型,600,600
ADA,7,7
ALB,8,1475
AMA,5,5
AMA-M2,5,5
AMC,15,15
AMK,191,191
AMP,147,147
AMY,100,144
ANA,90,90
ASMA,5,5
ATM,32,32
AVM,2,2
BCS,1,1
BD-B,113,113
BD-DC,113,113
BD-MJ,113,113
BD-QJD,113,113
BIL,917,917
BLD,917,917
CAA,26,26
CAZ,192,192
CBK,1,1
CGB,6,6
CGL,6,6
CHL,37,37
CHT,2,2
CIP,181,181
CKR,1,1
CL,10,1464
CLI,19,19
CMV IgG,5,5
CMV IgM,5,5
CMVDNA,6,6
COL,2,2
COLOR,917,917
CREA,6,1529
CRO,1029,1029
CSL,33,33
CST,3,3
CTR,12,12
CTT,2,2
CTX,149,149
CXA,6,6
CXM,145,145
CZO,135,135
Cortisol,18,18
DAP,1,1
DD1,13,13
DD2,13,13
DD3,13,13
DH,1,1
DHXB,12,12
DOX,1,1
DVM,1,1
E2,45,48
EAS,1,1
EAV,1,1
EBDNA,2,2
EBV CA IgA,5,5
EBV CA IgG,6,6
EBV CA IgM,5,5
EBVDNA,9,9
ECL,2,2
ECO,19,19
EFA,5,5
EFM,2,2
EKT-5M,101,101
ERY,19,19
ESBLs,105,105
ETP,130,130
EVG,2,2
EVM,2,2
F-CL,62,62
F-XZ,62,62
F-colour,62,62
FBLZBDKYCD,2,2
FEP,191,191
FLU,8,8
FOX,140,140
FPSA,96,96
FPSA/PSA,94,94
FSH,49,56
FUN,186,186
FZTDB,1,1
FZYC,4,4
GBSDNA,2,2
GEH,6,6
GEN,204,204
GH,22,22
GKT-5M,124,124
GLU,927,2120
HBcAb,1022,1022
HBcAb-IgM,9,9
HBeAb,1022,1022
HBeAg,1022,1022
HBsAb,1022,1022
HBsAg,1037,1037
HCG,1,1
HCG5,57,59
HCG5d,8,8
HDV-IgM,1,1
HEVIGM,1,1
HEVIgG,1,1
HIN,145,145
HIV,1044,1044
HLA-B27,6,6
HX1,13,13
HX2,13,13
HXB,74,74
HpIgG,3,3
I10,2,2
I1B,2,2
I6,2,7
I8,2,2
IF,10,10
III型前胶原,1,1
IPM,191,191
ITR,5,5
IgA,4,96
IgG,4,96
IgM,4,96
JCLX,438,438
JHJPY,3,3
JLJS,244,244
JNZYTJC,2,2
JSXBS,12,12
Jo-1,6,40
KET,936,936
KOX,1,1
KPN,107,107
LBNSJ,2,2
LBXB,34,34
LC-1,5,5
LDH,2,1446
LDL-C,294,294
LEU,917,917
LH,49,56
LKM-1,5,5
LNZ,25,25
LVX,217,217
M2-3E,5,5
MAR,31,31
MAT,31,31
MCV2,31,31
MCV3,31,31
MCV4,31,31
MCV5,31,31
MEM,36,36
MFX,19,19
MHO,1,1
MIB,1,1
MJ,34,34
MLU,1,1
MNO,139,139
MOL,3,3
MPV2,31,31
MPV3,31,31
MPV4,31,31
MPV5,31,31
MRSA,6,6
MUSC,33,33
NHTXHS,1,1
NIT,945,945
NJYBXB,62,62
NMP22,42,42
NY-JJ,4,4
NY-MJ,19,19
OB,74,74
ORA,53,53
OXA,19,19
PAE,25,25
PAI1,2,2
PCT,800,3962
PEN,9,9
PIP,120,120
PLT2,31,31
PLT3,31,31
PLT4,31,31
PLT5,31,31
PMA,15,15
PMI,2,2
PML,5,5
PRL,49,61
PRO,917,917
PROG,38,39
PSCS,62,62
PVU,1,1
PY3TWSC,22,22
QT,12,12
RBC-Info,33,33
RBC2,31,31
RBC3,31,31
RBC4,31,31
RBC5,31,31
RH,600,600
RIF,19,19
RiboP,6,6
Ro52,5,5
SAM,29,29
SAN,1,1
SAU,12,12
SCA,1,1
SEP,8,8
SGC,1,1
SHL,2,2
SHO,1,1
SJXLXB,12,12
SLA/LP,5,5
SM,6,6
SMA,8,8
SMZH,4,4
SPF,1,1
SSA,6,40
SSB,6,40
SSXLXB,34,34
SXT,203,203
SZXLXB,12,12
SZYS,9,9
ScL-70,6,6
Sp100,5,5
Syphilis,1026,1026
T-SPOT,26,26
TBDNA,2,2
TCC,1,1
TCY,2,2
TEC,24,24
TMA,438,438
TNA,2,2
TOB,13,13
TP,11,1453
TPPA,29,29
TRUST,138,138
TZP,52,52
UBG,917,917
UCI,917,917
VAN,25,25
VIC,2,2
VIP,2,2
WYHXB,12,12
WYLXB,12,12
WZYS,1,1
X-DH,23,23
X-NK,169,169
X-Rivalta,11,11
X-TMD,169,169
X-YS,169,169
XJPYWSC,232,232
YCHXBXTJCCSHXB,12,12
YCXB,12,12
YCXXBXTJC,12,12
YD,62,62
YHXBS,11,11
YX2,1,1
YX3,64,64
YX6,4,4
YX8,1,1
YXLBXB,24,24
YYXB,12,12
anaom,5,5
bxbsl,114,114
csfp,19,67
flgbd123xk,11,11
fyyytkt,11,11
fyzytkt,16,16
gp210,5,5
gscl,34,34
hpxzgr,3,3
hxdhbbdkt,11,11
jhjkt,3,3
jxlgbdkt,11,11
ket-p,10,10
kgas,1,1
kydskt,1,1
kydxbkt,1,1
lnjsy,1,1
mygddy,1,1
nRNP,6,6
pO2,365,610
pandy,48,48
qms,16,16
qrlkctkt,11,11
sfjtjkt,11,11
spxbsl,114,114
tegnxyzhx,356,356
tegxrxt,355,355
tegxwdbysp,355,355
tegxxbgn,355,355
tgc,116,116
twg,114,114
xbdkt,11,11
ylx,135,135
yqjky,9,9
yxlgbdkt,11,11
κ,4,4
λ,4,4
